cell_id,n_fe,fv_wt_mean_impact,fv_wt_sd_impact
508122,61,0.010178953829836076,0.0297945998097735
541005,51,0.004012027670483831,0.0174547258797992
525134,61,0.011250217752202236,0.031959227661468095
508127,61,0.010178054361631371,0.02979531800045969
541010,52,0.0036657342888852034,0.017237527328645072
525139,61,0.011250217752202236,0.031959227661468095
508813,50,3.004292920101992e-8,1.880425990718104e-5
541015,52,0.0037712563772777517,0.017738839136347828
525144,61,0.0112391821256568,0.03194504507855198
508818,50,3.0741278997321645e-8,1.924139126560161e-5
541020,52,0.0037614117818325576,0.01771575118426047
525149,61,0.010784179939009745,0.030995162068418815
508823,50,3.120487208555481e-8,1.9531578010279305e-5
541025,52,0.003981494612907628,0.0187407553073722
525834,50,2.9400361806021724e-8,1.8592991365973665e-5
508828,50,3.120487208555481e-8,1.9531578010279305e-5
541030,52,0.003893108238239124,0.018688716624224274
525839,50,3.0537452699345754e-8,1.931213794647868e-5
508833,50,3.1903221881856535e-8,1.9968712565942543e-5
541035,52,0.004059571604467888,0.019424776651230203
525844,50,3.122086597576274e-8,1.974436123307989e-5
508838,50,3.1903221881856535e-8,1.9968712565942543e-5
541040,52,0.004025500072252474,0.019415711086098842
525849,50,3.1903221881856535e-8,1.9968712565942543e-5
508843,50,3.23679942218102e-8,2.0259639447651138e-5
541045,56,0.010888304074957018,0.033518378277184145
525854,50,3.2135608051833365e-8,2.011417591176519e-5
508848,50,1.5179060047475256e-8,1.3432929367122583e-5
541050,56,0.011037085572871646,0.03388278824717179
525859,50,3.2135608051833365e-8,2.011417591176519e-5
508853,50,1.5179060047475256e-8,1.3432929367122583e-5
541055,56,0.011037085572871646,0.03388278824717179
525864,50,3.2601571340484264e-8,2.040584871441342e-5
508858,50,1.512647713893939e-8,1.3316394814896931e-5
541060,56,0.011111363764591575,0.034065003518370565
525869,50,1.550644336544566e-8,1.3722683969202967e-5
508863,50,1.5147396897073014e-8,1.3326025921995765e-5
541065,56,0.011111363764591575,0.034065003518370565
525874,50,1.550644336544566e-8,1.3722683969202967e-5
508868,50,1.53679923651425e-8,1.3520116558746109e-5
541070,56,0.011111363764591575,0.034065003518370565
525879,50,1.56153851119168e-8,1.3819104704258147e-5
508873,50,1.5699450592154455e-8,1.3811751829542315e-5
541075,64,0.011023110941830559,0.03217459570817513
525884,50,1.56153851119168e-8,1.3819104704258147e-5
508878,50,1.5699450592154455e-8,1.3811751829542315e-5
541080,64,0.01085626027092036,0.0318215939545583
525889,50,1.56153851119168e-8,1.3819104704258147e-5
508953,49,7.45649784706059e-7,1.1487695587461415e-4
541085,64,0.010689464055850782,0.03146992193707444
525894,50,1.6140647058137177e-8,1.4199944526475713e-5
508958,49,7.45649784706059e-7,1.1487695587461415e-4
541090,64,0.010689464055850782,0.03146992193707444
525899,50,1.6140647058137177e-8,1.4199944526475713e-5
508963,49,7.45649784706059e-7,1.1487695587461415e-4
541095,64,0.010522557079095406,0.031119936322493727
525974,49,3.959192082446188e-9,6.879878140483522e-6
