eez,meow,pct,ncell,mean_chi,sdev_chi,mean_fishing,mean_bycatch,mean_shipping,mean_trawl
1,55,28,2676,0.16551405117918022,1.8998766110018647e-4,0,5.046815253195346e-4,9.073214627807342e-4,3.250317416788651e-7
1,55,29,2676,0.1661913295364166,1.9975584858821969e-4,0,5.439924696648932e-4,8.763003015946249e-4,0
1,55,30,2676,0.1668581096358007,1.909452507298408e-4,0,4.566399648635874e-4,0.0011223625291709935,2.605464920710535e-9
1,55,31,2676,0.1674889019329897,1.78967838997523e-4,0,6.650370923559268e-4,9.146585847830018e-4,1.009617642755655e-7
1,55,32,2676,0.16807802596167065,1.7247042373507948e-4,0,6.925084711367899e-4,9.638542099973572e-4,0
1,55,33,2676,0.16866378785182007,1.697262722157495e-4,0,6.646016242942767e-4,9.359590172289449e-4,0
1,55,34,2676,0.16925044997591074,1.7094441199676501e-4,0,5.587055754263965e-4,9.643724397813802e-4,3.7779242115012425e-8
1,55,35,2676,0.1698444311427696,1.673650365244305e-4,0,5.955296289013698e-4,9.293200654330646e-4,0
1,55,36,2676,0.17041834815779788,1.7987125631430947e-4,0,6.128643853618604e-4,0.0010757495835567303,0
1,55,37,2676,0.17102989802201055,1.6945052954359062e-4,0,6.3614113182102e-4,0.0010292023830366429,0
1,55,38,2676,0.17159110504816466,1.641640010420534e-4,0,8.565089117834769e-4,0.0010407618163697377,2.084371868594235e-8
1,55,39,2676,0.17212469935951746,1.5248043183637946e-4,0,9.492009091754256e-4,0.0010181568825886893,0
1,55,40,2676,0.17263423187048446,1.514374625724699e-4,0,6.415577711265061e-4,0.0010414612434706133,0
1,55,41,2676,0.1731563500324974,1.5707842972591276e-4,0,5.903927147910196e-4,0.0012352694139832355,0
1,55,42,2676,0.17371670517552593,1.6884585572560294e-4,0,5.337252081835482e-4,0.0010743894500505427,5.21092984142107e-9
1,55,43,2676,0.174263452367665,1.5691884323999826e-4,0,5.080959667650904e-4,0.0013013642409823551,0
1,55,44,2676,0.17482727917498717,1.7560116847925456e-4,0,5.428617189093044e-4,0.001214123396655059,1.8525897540564137e-7
1,55,45,2676,0.1754377449073332,1.8410428561395174e-4,0,5.923485346299223e-4,0.0012255949588509784,0
1,55,46,2676,0.17608079264115858,1.88942906328364e-4,0,6.546841639685093e-4,0.0014643276687639805,6.029440446962813e-7
1,55,47,2676,0.17677836140175038,2.2604286501730754e-4,0,7.622435809792522e-4,0.0017271417030604776,3.758851588027327e-7
1,55,48,2676,0.17762159895825635,2.546993739221887e-4,0,9.528125013687636e-4,0.0018563789740276134,2.357650876605726e-6
1,55,49,2676,0.17856094969494996,2.9684382823869776e-4,0,9.71670870081117e-4,0.002280611325126348,4.224980536678034e-6
1,55,50,2676,0.17968045556514076,3.508861537993341e-4,0,9.195216443138617e-4,0.002537269652456755,1.659966545841098e-6
1,55,51,2676,0.18101162193913808,4.2674618464562104e-4,0,9.469175914095544e-4,0.0030443190729232015,2.53793498876754e-6
1,55,52,2676,0.18257914737468342,4.7085545791942856e-4,0,9.421780198242132e-4,0.0034283544786850757,2.101840855188991e-5
1,55,53,2676,0.18420130794558826,4.637777863387526e-4,0,0.0010385700549564753,0.003592657239513659,1.0498804643525824e-5
